"data","nrow_cep","nrow_cep_alterado"
"2024-11-07",1407368,569052
"2024-11-08",1407368,569052
"2024-11-09",1407368,569052
"2024-11-10",1407368,569052
"2024-11-11",1407368,569052
"2024-11-12",1407368,569052
"2024-11-13",1407368,569052
"2024-11-14",1407368,569052
"2024-11-15",1407368,569052
"2024-11-16",1407368,569052
"2024-11-17",1407368,569052
"2024-11-18",1407368,569052
"2024-11-19",1407368,569052
"2024-11-20",1407368,569052
"2024-11-21",1407368,569052
"2024-11-22",1407368,569052
"2024-11-23",1407368,569052
"2024-11-24",1407368,569052
"2024-11-25",1407368,569052
"2024-11-26",1407368,569052
"2024-11-27",1407368,569052
"2024-11-30",1407368,569052
"2024-12-01",1407368,569052
"2024-12-02",1407368,569052
"2024-12-03",1407368,569052
"2024-12-04",1417272,579850
"2024-12-05",1417272,579850
"2024-12-06",1417272,579850
"2024-12-07",1417272,579850
"2024-12-08",1417272,579850
"2024-12-09",1417272,579850
"2024-12-10",1417272,579850
"2024-12-11",1417272,579850
"2024-12-12",1417272,579850
"2024-12-13",1417272,579850
"2024-12-14",1417272,579850
"2024-12-15",1417272,579850
"2024-12-16",1417272,579850
"2024-12-17",1417272,579850
"2024-12-18",1417272,579850
"2024-12-19",1417272,579850
"2024-12-20",1417272,579850
"2024-12-21",1417272,579850
"2024-12-22",1417272,579850
"2024-12-23",1417272,579850
"2024-12-24",1417272,579850
"2024-12-25",1417272,579850
"2024-12-26",1417272,579850
"2024-12-27",1417272,579850
"2024-12-28",1417272,579850
"2024-12-29",1417272,579850
"2024-12-30",1417272,579850
"2024-12-31",1417272,579850
"2025-01-01",1417272,579850
"2025-01-02",1417272,579850
"2025-01-03",1417272,579850
"2025-01-04",1417272,579850
"2025-01-05",1417272,579850
"2025-01-06",1417272,579850
"2025-01-07",1417272,579850
"2025-01-08",1417272,579850
"2025-01-09",1417272,579850
"2025-01-10",1417272,579850
"2025-01-11",1417272,579850
"2025-01-12",1423476,586455
"2025-01-13",1423476,586455
"2025-01-14",1423476,586455
"2025-01-15",1423476,586455
"2025-01-16",1423476,586455
"2025-01-17",1423476,586455
"2025-01-18",1423476,586455
"2025-01-19",1423476,586455
"2025-01-20",1423476,586455
"2025-01-21",1423476,586455
"2025-01-22",1423476,586455
"2025-01-23",1423476,586455
"2025-01-24",1423476,586455
"2025-01-25",1423476,586455
"2025-01-26",1423476,586455
"2025-01-27",1423476,586455
"2025-01-28",1423476,586455
"2025-01-29",1423476,586455
"2025-01-30",1423476,586455
"2025-01-31",1423476,586455
"2025-02-01",1423476,586455
"2025-02-02",1423476,586455
"2025-02-03",1423476,586455
"2025-02-04",1423476,586455
"2025-02-05",1423476,586455
"2025-02-06",1423476,586455
"2025-02-07",1423476,586455
"2025-02-08",1423476,586455
"2025-02-09",1425897,589817
"2025-02-10",1425897,589817
"2025-02-11",1425897,589817
"2025-02-12",1425897,589817
"2025-02-13",1425897,589817
"2025-02-14",1425897,589817
"2025-02-15",1425897,589817
"2025-02-16",1425897,589817
"2025-02-17",1425897,589817
"2025-02-18",1425897,589817
"2025-02-19",1425897,589817
"2025-02-20",1425897,589817
"2025-02-21",1425897,589817
"2025-02-22",1425897,589817
"2025-02-23",1425897,589817
"2025-02-24",1425897,589817
"2025-02-25",1425897,589817
"2025-02-26",1425897,589817
"2025-02-27",1425897,589817
"2025-02-28",1425897,589817
"2025-03-01",1431272,595405
"2025-03-02",1431272,595405
"2025-03-03",1431272,595405
"2025-03-04",1431272,595405
"2025-03-05",1431272,595405
"2025-03-06",1431272,595405
"2025-03-07",1431272,595405
"2025-03-08",1431272,595405
"2025-03-09",1431272,595405
"2025-03-10",1431272,595405
"2025-03-11",1431272,595405
"2025-03-12",1431272,595405
"2025-03-13",1431272,595405
